City,Lat,Lon,Temp(f),Humidity,Cloudiness,Wind Speed,Country
Yulara,-25.24,130.99,44.6,48,0,5.82,AU
Umluj,25.02,37.27,90.9,33,38,13.35,SA
Şabyā,17.15,42.63,89.6,75,48,5.82,SA
Mahon,39.89,4.27,62.6,88,5,18.34,ES
Alihe,50.57,123.72,45.12,61,5,4.29,CN
Bagdarin,54.43,113.6,40.84,87,95,3.15,RU
Denpasar,-8.65,115.22,80.08,86,82,14.83,ID
Yinchuan,38.47,106.27,67.39,22,12,12.97,CN
Sittwe,20.15,92.9,81.99,80,98,4.25,MM
Barranca,-10.75,-77.77,68.63,73,15,8.97,PE
Whitianga,-36.83,175.7,57.0,78,69,1.99,NZ
Nombre de Dios,23.85,-104.23,82.4,7,5,4.7,MX
Kolondiéba,11.09,-6.89,94.39,29,100,4.0,ML
Zhezkazgan,47.8,67.71,59.77,67,45,5.95,KZ
Zhuhai,22.28,113.57,82.4,88,20,3.36,CN
Bundaberg,-24.85,152.35,63.0,93,9,8.05,AU
Fernley,39.61,-119.25,78.01,18,100,3.0,US
Les Cayes,18.2,-73.75,83.21,68,11,9.57,HT
General Roca,-39.03,-67.58,80.6,32,99,12.75,AR
Souillac,-20.52,57.52,71.6,83,20,5.03,MU
Andenes,69.31,16.12,39.2,64,2,12.75,NO
Aquiraz,-3.9,-38.39,77.0,88,75,4.7,BR
Apache Junction,33.42,-111.55,95.0,13,5,3.36,US
Bitung,1.45,125.18,77.0,94,20,1.12,ID
Santa Cruz,30.42,-9.6,64.4,82,20,19.46,MA
Tulum,20.22,-87.47,89.6,62,40,9.17,MX
Neuquén,-38.95,-68.06,80.6,32,71,12.75,AR
Black River,18.03,-77.85,86.0,74,40,9.17,JM
Kulhudhuffushi,6.62,73.07,84.52,74,100,14.67,MV
Hambantota,6.12,81.12,82.99,81,100,19.75,LK
Ambon City,-3.7,128.18,81.43,84,6,10.11,ID
Metro,-5.11,105.31,76.32,93,77,3.06,ID
Ndola,-12.96,28.64,57.94,61,0,7.14,ZM
Bandarbeyla,9.49,50.81,83.12,81,48,22.3,SO
Saint-François,46.42,3.91,55.99,71,12,5.01,FR
Belaya Gora,68.53,146.42,35.35,84,11,7.61,RU
Maridi,4.92,29.47,70.0,86,7,2.89,SS
Dingle,11.0,122.67,79.25,86,91,3.76,PH
Ubari,26.59,12.78,82.71,14,0,6.51,LY
Suntar,62.14,117.63,51.44,65,100,2.01,RU
Maceió,-9.67,-35.74,80.6,78,40,10.29,BR
La Ligua,-32.45,-71.23,68.0,64,0,11.41,CL
Shikhany,52.12,47.22,42.24,77,0,4.12,RU
Redlands,34.06,-117.18,89.01,25,5,9.17,US
Road Town,18.42,-64.62,86.0,66,40,11.41,VG
Severo-Yeniseyskiy,60.37,93.04,41.97,83,92,4.72,RU
Shache,38.42,77.24,67.39,39,100,19.44,CN
Dunedin,-45.87,170.5,50.0,71,36,1.99,NZ
Mil'kovo,54.72,158.62,34.68,93,100,7.11,RU
Homer,59.64,-151.55,51.8,62,1,12.75,US
Tallahassee,30.44,-84.28,91.99,38,75,6.93,US
Umm Kaddadah,13.6,26.69,84.78,22,0,2.24,SD
Kashary,49.04,41.01,43.56,76,0,7.31,RU
Tjøme,59.11,10.39,46.0,48,100,6.93,NO
Dārāb,28.75,54.54,75.51,27,0,8.1,IR
Iskateley,67.68,53.15,39.67,76,100,9.37,RU
Mumford,5.26,-0.76,82.85,82,0,9.95,GH
Nanyang,32.99,112.53,69.31,78,71,3.91,CN
Koumac,-20.57,164.28,72.43,76,91,4.47,NC
Fossano,44.55,7.72,59.0,98,100,3.13,IT
Dakar,14.69,-17.44,71.6,83,0,16.11,SN
Ahipara,-35.17,173.17,58.08,80,10,8.48,NZ
Pincher Creek,49.48,-113.95,62.6,36,1,24.16,CA
Palu,-0.89,119.87,77.83,81,100,3.89,ID
Il’inskiy,55.62,38.12,51.01,87,58,2.24,RU
Denia,38.84,0.11,64.0,80,51,6.49,ES
Nova Olinda do Norte,-3.89,-59.09,83.62,83,52,1.07,BR
Maralal,1.1,36.7,59.41,96,20,5.7,KE
Yeppoon,-23.13,150.73,62.6,77,100,5.82,AU
Vardø,70.37,31.11,33.8,95,75,2.24,NO
Saint-Pierre,-21.34,55.48,73.4,78,40,5.82,RE
Samdari,25.82,72.58,88.39,28,3,7.25,IN
Tautira,-17.73,-149.15,86.0,74,75,10.29,PF
Sain Alto,23.58,-103.25,78.82,13,0,6.91,MX
Caravelas,-17.71,-39.25,74.32,90,67,7.7,BR
Gorontalo,0.54,123.06,76.59,89,42,1.81,ID
Thunder Bay,48.4,-89.32,64.4,34,90,9.17,CA
Zhangjiakou,40.81,114.88,51.57,40,98,7.0,CN
College,64.86,-147.8,54.0,34,75,16.11,US
Ketchikan,55.34,-131.65,57.2,67,1,18.34,US
Stonewall,50.13,-97.33,70.0,40,40,8.05,CA
Beroroha,-21.67,45.17,63.27,60,0,3.58,MG
Hakkâri Province,37.58,44.17,52.03,51,0,2.37,TR
Luganville,-15.53,167.17,78.8,78,90,3.36,VU
São Miguel do Iguaçu,-25.35,-54.24,64.4,68,0,3.36,BR
San Quintín,30.48,-115.95,66.94,69,79,9.1,MX
Awasa,7.05,38.47,60.42,83,29,3.11,ET
Vila,42.03,-8.16,66.0,63,0,8.05,PT
